,CountyName,code
0,Alameda,060606001
1,Alpine,060606003
2,Amador,060606005
3,Butte,060606007
4,Calaveras,060606009
5,Colusa,060606011
6,Contra Costa,060606013
7,Del Norte,060606015
8,El Dorado,060606017
9,Fresno,060606019
10,Glenn,060606021
11,Humboldt,060606023
12,Imperial,060606025
13,Inyo,060606027
14,Kern,060606029
15,Kings,060606031
16,Lake,060606033
17,Lassen,060606035
18,Los Angeles,060606037
19,Madera,060606039
20,Marin,060606041
21,Mariposa,060606043
22,Mendocino,060606045
23,Merced,060606047
24,Modoc,060606049
25,Mono,060606051
26,Monterey,060606053
27,Napa,060606055
28,Nevada,060606057
29,Orange,060606059
30,Placer,060606061
31,Plumas,060606063
32,Riverside,060606065
33,Sacramento,060606067
34,San Benito,060606069
35,San Bernardino,060606071
36,San Diego,060606073
37,San Francisco,060606075
38,San Joaquin,060606077
39,San Luis Obispo,060606079
40,San Mateo,060606081
41,Santa Barbara,060606083
42,Santa Clara,060606085
43,Santa Cruz,060606087
44,Shasta,060606089
45,Sierra,060606091
46,Siskiyou,060606093
47,Solano,060606095
48,Sonoma,060606097
49,Stanislaus,060606099
50,Sutter,060606101
51,Tehama,060606103
52,Trinity,060606105
53,Tulare,060606107
54,Tuolumne,060606109
55,Ventura,060606111
56,Yolo,060606113
57,Yuba,060606115
